program-flag,cpu-time,system-time,wall-time
delannoy-o0,9.611999999999998,0.0,9.638000000000002
delannoy-o1,6.106,0.0,6.122
delannoy-o2,3.218,0.0,3.232
delannoy-o3,3.364,0.0,3.3739999999999997
delannoy-ofast,3.354,0.0,3.3659999999999997
delannoy-os,5.696000000000001,0.0,5.714
mmul-o0,5.8420000000000005,0.0,5.868
mmul-o1,2.088,0.002,2.156
mmul-o2,2.044,0.0,2.06
mmul-o3,1.984,0.002,2.004
mmul-ofast,2.002,0.0,2.02
mmul-os,2.08,0.0,2.102
nbody-o0,19.056,0.002,19.094
nbody-o1,10.322,0.0,10.344
nbody-o2,10.219999999999999,0.0,10.248000000000001
nbody-o3,10.2,0.0,10.226
nbody-ofast,7.398000000000001,0.0,7.4159999999999995
nbody-os,10.334,0.0,10.356
qap-o0,0.0,0.03,0.264
qap-o1,0.0,0.03,0.262
qap-o2,0.0,0.03,0.264
qap-o3,0.0,0.03,0.276
qap-ofast,0.004,0.024,0.26
qap-os,0.0,0.03,0.262
