Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 87.14     18.83    18.83        1    18.83    20.72  luaV_execute
  5.04     19.92     1.09 310000031     0.00     0.00  luaD_pretailcall
  4.07     20.80     0.88 306946270     0.00     0.00  luaD_precall
  1.90     21.21     0.41 271946189     0.00     0.00  luaH_getshortstr
  0.37     21.29     0.08 20000290     0.00     0.00  freeobj
  0.32     21.36     0.07 35000103     0.00     0.00  luaT_getvarargs
  0.19     21.40     0.04   714299     0.00     0.00  dothecall
  0.14     21.43     0.03 40000948     0.00     0.00  l_alloc
  0.14     21.46     0.03 25000004     0.00     0.00  luaV_tointeger
  0.14     21.49     0.03 20000364     0.00     0.00  luaM_malloc_
  0.14     21.52     0.03 20000290     0.00     0.00  luaC_newobj
  0.14     21.55     0.03 10000006     0.00     0.00  luaF_newLclosure
  0.09     21.57     0.02 20000430     0.00     0.00  luaM_free_
  0.09     21.59     0.02 10000001     0.00     0.00  luaF_findupval
  0.05     21.60     0.01   142860     0.00     0.00  luaS_clearcache
  0.05     21.61     0.01                             _init
  0.00     21.61     0.00 10000002     0.00     0.00  luaF_closeupval
  0.00     21.61     0.00   571440     0.00     0.00  clearbyvalues
  0.00     21.61     0.00   571440     0.00     0.00  correctgraylist
  0.00     21.61     0.00   286012     0.00     0.00  reallymarkobject
  0.00     21.61     0.00   285781     0.00     0.00  propagatemark
  0.00     21.61     0.00   285720     0.00     0.00  clearbykeys
  0.00     21.61     0.00   285720     0.00     0.00  convergeephemerons
  0.00     21.61     0.00   142868     0.00     0.00  luaE_setdebt
  0.00     21.61     0.00   142866     0.00     0.00  luaC_step
  0.00     21.61     0.00   142861     0.00     0.00  separatetobefnz
  0.00     21.61     0.00   142860     0.00     0.00  atomic
  0.00     21.61     0.00   142860     0.00     0.00  finishgencycle
  0.00     21.61     0.00      676     0.00     0.00  save
  0.00     21.61     0.00      576     0.00     0.00  luaS_newudata
  0.00     21.61     0.00      395     0.00     0.00  luaH_newkey
  0.00     21.61     0.00      373     0.00     0.00  luaH_getstr
  0.00     21.61     0.00      362     0.00     0.00  luaS_newlstr
  0.00     21.61     0.00      357     0.00     0.00  luaM_growaux_
  0.00     21.61     0.00      355     0.00     0.00  internshrstr
  0.00     21.61     0.00      323     0.00     0.00  luaS_new
  0.00     21.61     0.00      254     0.00     0.00  luaH_finishset
  0.00     21.61     0.00      236     0.00     0.00  luaS_remove
  0.00     21.61     0.00      234     0.00     0.00  llex
  0.00     21.61     0.00      234     0.00     0.00  luaX_next
  0.00     21.61     0.00      224     0.00     0.00  luaH_get
  0.00     21.61     0.00      214     0.00     0.00  auxsetstr
  0.00     21.61     0.00      203     0.00     0.00  luaV_finishset
  0.00     21.61     0.00      203     0.00     0.00  lua_setfield
  0.00     21.61     0.00      191     0.00     0.00  luaK_dischargevars
  0.00     21.61     0.00      168     0.00     0.00  lua_pushcclosure
  0.00     21.61     0.00      162     0.00     0.00  savelineinfo
  0.00     21.61     0.00      152     0.00     0.00  luaM_realloc_
  0.00     21.61     0.00      126     0.00     0.00  luaK_code
  0.00     21.61     0.00      123     0.00     0.00  check_match
  0.00     21.61     0.00      122     0.00     0.00  luaX_newstring
